food_category_id,FF Food description,FF_Component,SR Mean per 100g,FF Mean per 100g,PC
1,"Yogurt, Greek, plain, whole milk",Retinol,1.0,38.13,3713.0000000000005
1,"Buttermilk, low fat","Vitamin D (D2 + D3), International Units",1.0,21.7,2070.0
1,"Eggs, Grade A, Large, egg yolk","Tocopherol, beta",0.05,1.02,1939.9999999999998
1,"Yogurt, plain, whole milk","Vitamin D (D2 + D3), International Units",2.0,31.1,1455.0
1,"Butter, stick, salted","Sugars, Total",0.06,0.58,866.6666666666667
1,"Yogurt, plain, whole milk",Vitamin D3 (cholecalciferol),0.1,0.7783,678.3
1,"Yogurt, plain, whole milk",Vitamin D (D2 + D3),0.1,0.778,678.0
1,"Eggs, Grade A, Large, egg yolk","Tocopherol, delta",0.06,0.3,400.0
1,"Eggs, Grade A, Large, egg yolk","Tocotrienol, alpha",0.03,0.14,366.66666666666674
1,"Egg, white, raw, frozen, pasteurized","Iron, Fe",0.04,0.18,349.99999999999994
1,"Egg, white, dried","Zinc, Zn",0.1,0.43,329.99999999999994
2,"Salt, table, iodized",Water,0.2,0.42,109.99999999999999
2,"Salt, table, iodized","Calcium, Ca",24.0,50.0,108.33333333333333
2,"Salt, table, iodized","Zinc, Zn",0.1,0.0,100.0
2,"Salt, table, iodized","Copper, Cu",0.03,0.0,100.0
2,"Salt, table, iodized","Magnesium, Mg",1.0,0.0,100.0
2,"Salt, table, iodized","Iron, Fe",0.33,0.0,100.0
2,"Salt, table, iodized","Potassium, K",8.0,2.0,75.0
2,"Salt, table, iodized","Manganese, Mn",0.1,0.032,68.0
2,"Mustard, prepared, yellow","Sugars, Total",0.92,1.42,54.34782608695651
2,"Mustard, prepared, yellow","Tocotrienol, alpha",0.02,0.03,49.999999999999986
4,"Oil, soybean","Tocotrienol, beta",0.03,1.6,5233.333333333334
4,"Oil, peanut",Vitamin K (phylloquinone),0.7,4.263,509.0
4,"Oil, canola","Tocotrienol, alpha",0.03,0.0,100.0
4,"Oil, canola","Tocopherol, beta",0.01,0.0,100.0
4,"Oil, canola","Tocotrienol, delta",0.01,0.0,100.0
4,"Oil, soybean","Tocopherol, beta",0.9,1.8,100.0
4,"Oil, soybean","Tocotrienol, alpha",0.04,0.0,100.0
4,"Oil, soybean","Tocotrienol, delta",0.01,0.0,100.0
4,"Oil, peanut","Tocopherol, delta",1.37,0.4863,64.5036496350365
4,"Oil, corn",Vitamin E (alpha-tocopherol),14.3,22.6,58.04195804195804
4,"Oil, canola","Tocopherol, gamma",27.34,41.3,51.06071689831747
4,"Oil, canola","Tocopherol, delta",0.99,1.48,49.494949494949495
4,"Oil, soybean",Vitamin E (alpha-tocopherol),8.18,12.2,49.1442542787286
4,"Oil, peanut","Fatty acids, total polyunsaturated",32.0,19.92,37.74999999999999
4,"Oil, safflower","Fatty acids, total trans",0.096,0.1294,34.79166666666665
5,"Chicken, ground, with additives, raw","Carbohydrate, by difference",0.04,0.0,100.0
5,"Chicken, breast, boneless, skinless, raw","Manganese, Mn",0.011,0.0,100.0
5,"Chicken, thigh, boneless, skinless, raw","Manganese, Mn",0.013,0.0,100.0
5,"Turkey, ground, 93% lean/ 7% fat, raw","Manganese, Mn",0.008,0.01581,97.625
5,"Chicken, thigh, boneless, skinless, raw",Total lipid (fat),4.12,7.916,92.13592233009709
5,"Chicken, breast, boneless, skinless, raw","Copper, Cu",0.037,0.003638,90.16756756756756
5,"Chicken, ground, with additives, raw","Manganese, Mn",0.016,0.005025,68.59375
5,"Chicken, ground, with additives, raw","Fatty acids, total trans",0.065,0.021,67.69230769230768
5,"Chicken, thigh, boneless, skinless, raw","Fatty acids, total saturated",1.097,1.658,51.1394712853236
5,"Chicken, thigh, boneless, skinless, raw","Fatty acids, total polyunsaturated",0.94,1.42,51.06382978723404
5,"Chicken, thigh, boneless, skinless, raw","Fatty acids, total monounsaturated",1.497,2.239,49.56579826319303
5,"Chicken, breast, boneless, skinless, raw","Fatty acids, total monounsaturated",0.689,0.3688,46.47314949201741
5,"Chicken, breast, boneless, skinless, raw","Sodium, Na",45.0,65.75,46.111111111111114
5,"Chicken, ground, with additives, raw","Copper, Cu",0.065,0.03619,44.323076923076925
5,"Chicken, ground, with additives, raw","Potassium, K",522.0,301.7,42.203065134099624
7,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Carbohydrate, by difference",0.03,3.37,11133.333333333334
7,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Vitamin C, total ascorbic acid",0.7,19.2,2642.857142857143
7,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Manganese, Mn",0.042,0.174,314.2857142857142
7,"Sausage, Italian, pork, mild, cooked, pan-fried",Vitamin E (alpha-tocopherol),0.25,0.8,220.00000000000003
7,"Sausage, turkey, breakfast links, mild, raw",Betaine,3.0,8.1,170.0
7,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Calcium, Ca",15.0,35.0,133.33333333333331
7,"Sausage, Italian, pork, mild, cooked, pan-fried","Vitamin A, RAE",10.0,22.0,120.0
7,"Sausage, Italian, pork, mild, cooked, pan-fried",Retinol,10.0,22.0,120.0
7,"Sausage, Italian, pork, mild, cooked, pan-fried","Folate, total",5.0,0.0,100.0
7,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Tocotrienol, alpha",0.07,0.0,100.0
7,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)","Manganese, Mn",0.014,0.0,100.0
9,"Cranberry juice, not fortified, from concentrate, shelf stable","Folate, total",1.0,8.968,796.8
9,"Grapefruit juice, white, canned or bottled, unsweetened",Total lipid (fat),0.1,0.7,599.9999999999999
9,"Grapefruit juice, white, canned or bottled, unsweetened",Vitamin E (alpha-tocopherol),0.04,0.22,450.0
9,"Nectarines, raw","Tocopherol, gamma",0.01,0.04,300.0
9,"Cranberry juice, not fortified, from concentrate, shelf stable","Sodium, Na",2.0,6.341,217.05
9,"Apples, granny smith, with skin, raw",Riboflavin,0.025,0.075,199.99999999999997
9,"Nectarines, raw","Tocopherol, delta",0.01,0.03,199.99999999999994
9,"Apples, honeycrisp, with skin, raw",Riboflavin,0.026,0.07375,183.65384615384616
9,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",Total lipid (fat),0.12,0.325,170.83333333333334
9,"Apples, red delicious, with skin, raw",Riboflavin,0.025,0.06625,165.0
9,"Orange juice, no pulp, not fortified, from concentrate, refrigerated","Sodium, Na",2.0,5.231,161.54999999999998
9,"Apples, fuji, with skin, raw",Riboflavin,0.026,0.0675,159.61538461538464
9,"Cranberry juice, not fortified, from concentrate, shelf stable",Total lipid (fat),0.13,0.3375,159.6153846153846
9,"Apples, gala, with skin, raw",Riboflavin,0.029,0.06875,137.0689655172414
9,"Pineapple, raw",Glucose,1.73,3.907,125.83815028901735
9,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",Total lipid (fat),0.13,0.2875,121.15384615384612
9,"Apple juice, with added vitamin C, from concentrate, shelf stable",Total lipid (fat),0.13,0.2863,120.23076923076923
9,"Grapefruit juice, white, canned or bottled, unsweetened",Pantothenic acid,0.13,0.28,115.3846153846154
9,"Applesauce, unsweetened, with added vitamin C","Vitamin C, total ascorbic acid",21.2,43.69,106.08490566037736
10,"Pork, loin, boneless, raw","Fatty acids, total monounsaturated",1.861,3.946,112.03653949489522
10,"Pork, loin, boneless, raw","Fatty acids, total polyunsaturated",0.651,1.379,111.8279569892473
10,"Pork, loin, boneless, raw","Fatty acids, total saturated",1.598,3.285,105.5694618272841
10,"Pork, ground, raw","Manganese, Mn",0.01,0.0,100.0
10,"Pork, loin, boneless, raw","Manganese, Mn",0.007,0.0,100.0
10,"Pork, loin, tenderloin, boneless, raw","Manganese, Mn",0.014,0.002588,81.51428571428572
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total trans",0.036,0.01,72.22222222222221
10,"Pork, ground, raw","Calcium, Ca",14.0,5.857,58.164285714285725
10,"Pork, ground, raw","Copper, Cu",0.045,0.0666,48.00000000000002
10,"Pork, loin, boneless, raw","Fatty acids, total trans",0.05,0.02875,42.5
10,"Pork, loin, boneless, raw","Calcium, Ca",7.0,4.111,41.27142857142857
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total monounsaturated",1.355,0.8625,36.34686346863468
10,"Pork, ground, raw","Fatty acids, total polyunsaturated",1.91,2.553,33.66492146596859
10,"Pork, loin, boneless, raw","Copper, Cu",0.056,0.0382,31.78571428571429
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total saturated",1.181,0.8663,26.64690939881457
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total polyunsaturated",0.562,0.4175,25.711743772242002
10,"Pork, loin, tenderloin, boneless, raw","Calcium, Ca",6.0,4.528,24.53333333333334
10,"Pork, loin, tenderloin, boneless, raw","Sodium, Na",52.0,41.39,20.403846153846153
10,"Pork, ground, raw","Fatty acids, total saturated",7.87,6.283,20.16518424396442
10,"Pork, ground, raw","Fatty acids, total monounsaturated",9.44,7.777,17.616525423728806
10,"Pork, ground, raw",Total lipid (fat),21.19,17.49,17.461066540821154
